"","Country Code","Country Name","Year","Fertility rate","Region","IncomeGroup"
"1","ABW","Aruba","2008",1.935,"Latin America & Caribbean","High income"
"2","ABW","Aruba","1987",2.307,"Latin America & Caribbean","High income"
"3","ABW","Aruba","1979",2.408,"Latin America & Caribbean","High income"
"4","ABW","Aruba","2013",2.117,"Latin America & Caribbean","High income"
"5","ABW","Aruba","1966",3.625,"Latin America & Caribbean","High income"
"6","ABW","Aruba","1992",2.277,"Latin America & Caribbean","High income"
"7","ABW","Aruba","1997",2.144,"Latin America & Caribbean","High income"
"8","ABW","Aruba","1994",2.125,"Latin America & Caribbean","High income"
"9","ABW","Aruba","1990",2.303,"Latin America & Caribbean","High income"
"10","ABW","Aruba","2005",1.777,"Latin America & Caribbean","High income"
"11","ABW","Aruba","1976",2.472,"Latin America & Caribbean","High income"
"12","ABW","Aruba","2003",1.747,"Latin America & Caribbean","High income"
"13","ABW","Aruba","1986",2.32,"Latin America & Caribbean","High income"
"14","ABW","Aruba","1973",2.613,"Latin America & Caribbean","High income"
"15","ABW","Aruba","1982",2.364,"Latin America & Caribbean","High income"
"16","ABW","Aruba","1975",2.506,"Latin America & Caribbean","High income"
"17","ABW","Aruba","1998",1.957,"Latin America & Caribbean","High income"
"18","ABW","Aruba","2015",1.972,"Latin America & Caribbean","High income"
"19","ABW","Aruba","1960",4.82,"Latin America & Caribbean","High income"
"20","ABW","Aruba","1964",4.059,"Latin America & Caribbean","High income"
"21","ABW","Aruba","2011",1.962,"Latin America & Caribbean","High income"
"22","ABW","Aruba","2004",1.683,"Latin America & Caribbean","High income"
"23","ABW","Aruba","1963",4.271,"Latin America & Caribbean","High income"
"24","ABW","Aruba","1980",2.392,"Latin America & Caribbean","High income"
"25","ABW","Aruba","2007",1.928,"Latin America & Caribbean","High income"
"26","ABW","Aruba","1962",4.471,"Latin America & Caribbean","High income"
"27","ABW","Aruba","1983",2.353,"Latin America & Caribbean","High income"
"28","ABW","Aruba","1999",1.869,"Latin America & Caribbean","High income"
"29","ABW","Aruba","1972",2.691,"Latin America & Caribbean","High income"
"30","ABW","Aruba","1978",2.425,"Latin America & Caribbean","High income"
"31","ABW","Aruba","2012",2.028,"Latin America & Caribbean","High income"
"32","ABW","Aruba","1968",3.226,"Latin America & Caribbean","High income"
"33","ABW","Aruba","1967",3.417,"Latin America & Caribbean","High income"
"34","ABW","Aruba","1991",2.314,"Latin America & Caribbean","High income"
"35","ABW","Aruba","2001",1.833,"Latin America & Caribbean","High income"
"36","ABW","Aruba","2018",1.587,"Latin America & Caribbean","High income"
"37","ABW","Aruba","2014",2.148,"Latin America & Caribbean","High income"
"38","ABW","Aruba","2000",1.904,"Latin America & Caribbean","High income"
"39","ABW","Aruba","2017",1.839,"Latin America & Caribbean","High income"
"40","ABW","Aruba","2021",1.18,"Latin America & Caribbean","High income"
"41","ABW","Aruba","1989",2.272,"Latin America & Caribbean","High income"
"42","ABW","Aruba","1985",2.332,"Latin America & Caribbean","High income"
"43","ABW","Aruba","2016",1.953,"Latin America & Caribbean","High income"
"44","ABW","Aruba","1988",2.291,"Latin America & Caribbean","High income"
"45","ABW","Aruba","2002",1.763,"Latin America & Caribbean","High income"
"46","ABW","Aruba","1974",2.552,"Latin America & Caribbean","High income"
