"","Region","Year","fertility"
"1","East Asia & Pacific",1960,5.88217647058824
"2","East Asia & Pacific",1961,5.80788235294118
"3","East Asia & Pacific",1962,5.85952941176471
"4","East Asia & Pacific",1963,5.85873529411765
"5","East Asia & Pacific",1964,5.76529411764706
"6","East Asia & Pacific",1965,5.68394117647059
"7","East Asia & Pacific",1966,5.57679411764706
"8","East Asia & Pacific",1967,5.48088235294118
"9","East Asia & Pacific",1968,5.39764705882353
"10","East Asia & Pacific",1969,5.30858823529412
"11","East Asia & Pacific",1970,5.22461764705882
"12","East Asia & Pacific",1971,5.14297058823529
"13","East Asia & Pacific",1972,5.04026470588235
"14","East Asia & Pacific",1973,4.90061764705882
"15","East Asia & Pacific",1974,4.73988235294118
"16","East Asia & Pacific",1975,4.58611764705882
"17","East Asia & Pacific",1976,4.45755882352941
"18","East Asia & Pacific",1977,4.34082352941176
"19","East Asia & Pacific",1978,4.27297058823529
"20","East Asia & Pacific",1979,4.26723529411765
"21","East Asia & Pacific",1980,4.25394117647059
"22","East Asia & Pacific",1981,4.21961764705882
"23","East Asia & Pacific",1982,4.16461764705882
"24","East Asia & Pacific",1983,4.09217647058824
"25","East Asia & Pacific",1984,4.02102941176471
"26","East Asia & Pacific",1985,3.95888235294118
"27","East Asia & Pacific",1986,3.88720588235294
"28","East Asia & Pacific",1987,3.82573529411765
"29","East Asia & Pacific",1988,3.76979411764706
"30","East Asia & Pacific",1989,3.68688235294118
"31","East Asia & Pacific",1990,3.62465714285714
"32","East Asia & Pacific",1991,3.57385294117647
"33","East Asia & Pacific",1992,3.50979411764706
"34","East Asia & Pacific",1993,3.43944117647059
"35","East Asia & Pacific",1994,3.37055882352941
"36","East Asia & Pacific",1995,3.27111428571429
"37","East Asia & Pacific",1996,3.23908823529412
"38","East Asia & Pacific",1997,3.17076470588235
"39","East Asia & Pacific",1998,3.09520588235294
"40","East Asia & Pacific",1999,3.04014705882353
"41","East Asia & Pacific",2000,2.96914285714286
"42","East Asia & Pacific",2001,2.93423529411765
"43","East Asia & Pacific",2002,2.87297058823529
"44","East Asia & Pacific",2003,2.82544117647059
"45","East Asia & Pacific",2004,2.79620588235294
"46","East Asia & Pacific",2005,2.73991428571429
"47","East Asia & Pacific",2006,2.76361764705882
"48","East Asia & Pacific",2007,2.75888235294118
"49","East Asia & Pacific",2008,2.74726470588235
"50","East Asia & Pacific",2009,2.71973529411765
"51","East Asia & Pacific",2010,2.69341176470588
"52","East Asia & Pacific",2011,2.67020588235294
"53","East Asia & Pacific",2012,2.65962857142857
"54","East Asia & Pacific",2013,2.61667647058824
"55","East Asia & Pacific",2014,2.59441176470588
"56","East Asia & Pacific",2015,2.54468571428571
"57","East Asia & Pacific",2016,2.51541176470588
"58","East Asia & Pacific",2017,2.46417647058824
"59","East Asia & Pacific",2018,2.4185
"60","East Asia & Pacific",2019,2.384
"61","East Asia & Pacific",2020,2.29417142857143
"62","East Asia & Pacific",2021,2.30723529411765
"63","Europe & Central Asia",1960,3.34746153846154
"64","Europe & Central Asia",1961,3.35917647058824
"65","Europe & Central Asia",1962,3.32240384615385
"66","Europe & Central Asia",1963,3.34207843137255
"67","Europe & Central Asia",1964,3.29113461538462
"68","Europe & Central Asia",1965,3.23867307692308
"69","Europe & Central Asia",1966,3.16778846153846
"70","Europe & Central Asia",1967,3.12594230769231
"71","Europe & Central Asia",1968,3.05578846153846
"72","Europe & Central Asia",1969,3.00373076923077
"73","Europe & Central Asia",1970,2.95952830188679
"74","Europe & Central Asia",1971,2.93179245283019
"75","Europe & Central Asia",1972,2.87358490566038
"76","Europe & Central Asia",1973,2.78681132075472
"77","Europe & Central Asia",1974,2.74896226415094
"78","Europe & Central Asia",1975,2.67268518518519
"79","Europe & Central Asia",1976,2.62214814814815
"80","Europe & Central Asia",1977,2.55242592592593
"81","Europe & Central Asia",1978,2.49922222222222
"82","Europe & Central Asia",1979,2.46712962962963
"83","Europe & Central Asia",1980,2.43946296296296
"84","Europe & Central Asia",1981,2.38375925925926
"85","Europe & Central Asia",1982,2.37172222222222
"86","Europe & Central Asia",1983,2.34218518518519
